album_name,album_id,album_release_date,track_name,track_number,track_duration,spotify_url
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,all-american bitch,1,165.833,https://open.spotify.com/track/6dhWwPex5g1B1hg7ezGj2b
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,bad idea right?,2,184.783,https://open.spotify.com/track/27Cne97mFE21Ob0ScMewrV
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,vampire,3,219.724,https://open.spotify.com/track/6gPOwGszseqYL7w02opoy1
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,lacy,4,177.212,https://open.spotify.com/track/5SShKhLCYFydCsO4L7ULMr
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,ballad of a homeschooled girl,5,203.369,https://open.spotify.com/track/5lfHlUT9WtSGw12jw7dSkk
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,making the bed,6,198.866,https://open.spotify.com/track/4HOWCLfKRlHhbsCCBsquSE
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,logical,7,231.907,https://open.spotify.com/track/7E35A3DD14DVoE3rpCBmQj
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,get him back!,8,211.141,https://open.spotify.com/track/5D27wJnVQwYD7fAKaODHgs
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,love is embarrassing,9,154.516,https://open.spotify.com/track/3jhlwdu8nU7hFTEGHUomN3
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,the grudge,10,189.386,https://open.spotify.com/track/6e5fsRfVK3jvrpUXJpG9mB
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,pretty isn’t pretty,11,199.422,https://open.spotify.com/track/7IiOhvduGa8urDPC6l3CWo
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,teenage dream,12,222.358,https://open.spotify.com/track/1dyfBMMklpbqRbuvjnVwap
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,obsessed,13,170.541,https://open.spotify.com/track/6tNgRQ0K2NYZ0Rb9l9DzL8
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,girl i’ve always been,14,121.354,https://open.spotify.com/track/0bJAmhSAeMSfsyazOEUVFf
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,scared of my guitar,15,263.928,https://open.spotify.com/track/7JqH46zlr7XV7vMBt4slE6
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,stranger,16,192.771,https://open.spotify.com/track/2U3jOPfO4wZZFaaWS4Dcj6
GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,so american,17,169.717,https://open.spotify.com/track/5Jh1i0no3vJ9u4deXkb4aV
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,1,205.483,https://open.spotify.com/track/17cia5k4BpGVlyEfqrFH50
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,The Hanging Tree - from The Hunger Games: The Ballad of Songbirds & Snakes,2,143.988,https://open.spotify.com/track/6X0F53XRWhmVKAaQsnuRDL
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Wool - from The Hunger Games: The Ballad of Songbirds & Snakes,3,229.357,https://open.spotify.com/track/4hoqP9dIAu2Nk6u5LvxOR4
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Nothing You Can Take From Me - from The Hunger Games: The Ballad of Songbirds & Snakes,4,95.482,https://open.spotify.com/track/4zZs83phyqo6RLBD4PoHJv
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,The Garden - from The Hunger Games: The Ballad of Songbirds & Snakes,5,222.326,https://open.spotify.com/track/57mPJPpQCVS7bisURsmrJZ
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,The Ballad of Lucy Gray Baird - from The Hunger Games: The Ballad of Songbirds & Snakes,6,139.091,https://open.spotify.com/track/0Ac9NKZTvLPMQN36oWHf5C
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Bury Me Beneath The Willow - from The Hunger Games: The Ballad of Songbirds & Snakes,7,222.089,https://open.spotify.com/track/147jTPnoWjZnbF6r7NFnsI
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,The Old Therebefore / Singing at Snakes - from The Hunger Games: The Ballad of Songbirds & Snakes,8,168.929,https://open.spotify.com/track/6Mbgtn1ZjgS1upiV2ghB9y
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Burn Me Once - from The Hunger Games: The Ballad of Songbirds & Snakes,9,200.021,https://open.spotify.com/track/1wB4su0ngpr8Rnh96So3vJ
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,District 12 Stomp - from The Hunger Games: The Ballad of Songbirds & Snakes,10,43.406,https://open.spotify.com/track/2EDNrd2VrdEluhD66ii9Qd
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Nothing You Can Take From Me (Boot-Stompin' Version) - from The Hunger Games: The Ballad of Songbirds & Snakes,11,193.591,https://open.spotify.com/track/4ck5SWSXlSUVHhYjq9Cb8L
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Cabin Song - from The Hunger Games: The Ballad of Songbirds & Snakes,12,206.93,https://open.spotify.com/track/0AHQvy0hsEV1CqK9hzzGiu
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Lucy Gray (part 1) - from The Hunger Games: The Ballad of Songbirds & Snakes,13,161.063,https://open.spotify.com/track/7kivFYvFfz2LY9enQLbGP1
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Pure As The Driven Snow - from The Hunger Games: The Ballad of Songbirds & Snakes,14,233.341,https://open.spotify.com/track/6yQwizH2mspw25bW6UuccH
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Winter's Come and Gone - from The Hunger Games: The Ballad of Songbirds & Snakes,15,169.243,https://open.spotify.com/track/7vN6yDVTOphQUXJ1leQgPB
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Keep On The Sunny Side - from The Hunger Games: The Ballad of Songbirds & Snakes,16,163.646,https://open.spotify.com/track/1XMTwgJ7zlwHKNN9SSI5ez
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2yHTMVFGHODKJOjVL1hLgk,2023-11-17,Lucy Gray (part 2) - from The Hunger Games: The Ballad of Songbirds & Snakes,17,198.85,https://open.spotify.com/track/6BrXsD5xP0yFd3OXncAPfM
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,all-american bitch,1,165.833,https://open.spotify.com/track/34sOdxWu9FljH84UXdRwu1
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,bad idea right?,2,184.783,https://open.spotify.com/track/3IX0yuEVvDbnqUwMBB3ouC
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,vampire,3,219.724,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,lacy,4,177.212,https://open.spotify.com/track/6QT6j7rKt7Vk3IuV2AUO9W
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,ballad of a homeschooled girl,5,203.369,https://open.spotify.com/track/5sp71CUt0jXRNqHblPGp7b
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,making the bed,6,198.866,https://open.spotify.com/track/5CscrLqFBgPfZR8fGtikov
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,logical,7,231.907,https://open.spotify.com/track/53dtP2iUMvaF28JZcHnFuU
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,get him back!,8,211.141,https://open.spotify.com/track/2gyxAWHebV7xPYVxqoi86f
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,love is embarrassing,9,154.516,https://open.spotify.com/track/26QLJMK8G0M06sk7h7Fkse
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,the grudge,10,189.386,https://open.spotify.com/track/3Nl5OkkmS5DaBZvuYofpAt
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,pretty isn’t pretty,11,199.422,https://open.spotify.com/track/6W9l02gRsXVxzIuQC1oc1X
GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,teenage dream,12,222.358,https://open.spotify.com/track/7fesNTgTEMEH0ye8MOgEDY
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,brutal,1,143.746,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,traitor,2,229.226,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,drivers license,3,242.013,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,"1 step forward, 3 steps back",4,163.586,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,deja vu,5,215.506,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,good 4 u,6,178.146,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,enough for you,7,202.826,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,happier,8,175.933,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,"jealousy, jealousy",9,173.16,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,favorite crime,10,152.666,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,hope ur ok,11,209.56,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
